X0,X1,X2,X3,X4,X5,Y0-,Y1-
1.3091433158544652,9.25788555819852,4.701975862178338,1.2519333455071768,2.3863767255599826,6.862668499752332,[-87.78751277 163.88922815],"[ -4.28351444   0.76117148   2.97437112 -14.23225668   0.0371638
  -0.80980051]"
6.094810597762965,7.986759249066785,2.1619847898938196,3.7819361476330915,2.089099939184915,6.758877974775324,[-457.61203127  169.95902882],[-6.04078492  1.34692831 -0.05402567 -9.93273357  0.12105141 -0.89715422]
6.4929458197994805,2.8608472931042295,4.7905829218813825,2.7545092736198935,1.8373039383080862,2.1686881311020545,[-522.02595548   88.95869269],[-3.67689656  0.55896552 -2.81604926 -2.04479803  0.49017412  0.11986243]
7.939848303785305,1.541730587488881,3.352917711471998,0.6419136981242215,2.5541234629476373,4.204706485879224,[-901.48322276  101.27533796],[-3.74078945  0.58026315 -4.19905886  0.65732827 -0.80838385 -0.10087809]
3.0058104533100694,5.096722714474443,3.8007700153947996,4.570297093236984,4.797930664439997,2.8609100912314056,[-57.47488706 101.54989235],[-3.05126658  0.35042219  0.04545613 -7.14217885  0.30288243 -0.52336619]
5.5237299686559975,0.4855339256075697,1.8038146031588917,0.9562466750967522,3.4902751666357137,7.677280326897601,[-328.82245242  106.03814474],"[-2.00463195e+00  1.54398238e-03 -3.51909802e+00  1.03356410e+00
 -4.03223455e-01 -9.79412516e-01]"
3.369819841925479,0.9720391357083391,2.1534279772820994,3.0457834367937355,1.696946159602299,7.3213461211097695,[-50.69352282  82.69632994],[-1.17092949 -0.27635684 -2.19889035 -0.77314878 -0.05938309 -1.25482386]
0.8214464347543804,1.2767425381197373,3.7712734152305867,1.0844647086731756,1.394641403427388,0.9643817140727873,[-51.58385822  20.57846937],[-0.04909449 -0.65030184 -0.77235195 -2.50439059 -0.58016815  0.11461052]
8.407920243733122,4.882779329566279,4.678818394266013,5.640322998784201,4.417884410401673,5.951640000418693,[-1062.75276108   203.17896326],[-5.64534979  1.2151166  -2.76257046 -4.12020887  1.11468855 -0.99050905]
2.8557206318077597,0.7037840798351369,1.1305128836363765,1.6778868452295994,2.283976684491261,6.762639993119469,[-27.04445995  63.69366518],[-0.77975236 -0.40674921 -2.07596828 -0.6278158   0.29321723 -0.81883235]
4.560355796698669,7.588332222603007,2.4515867731689114,5.956537226031157,2.766407455201993,5.449714467493734,[-204.17033955  157.22264233],"[ -5.07434401   1.02478134   0.51398821 -10.10232044   0.56432357
  -0.37606999]"
0.8291505976532187,5.345976660614538,3.6121022922504586,4.081147995186045,1.3792664951759965,7.087889107872696,[-52.44127434 111.11055717],[-2.08756363  0.02918788  1.25841303 -8.60438969  0.1139543  -1.42866655]
3.903265680537592,2.4945257586345395,1.2359412499755007,1.553122437636022,1.98219526189472,3.2599689254289044,[-97.8126476   39.95437726],[-2.19889572  0.06629857 -1.70436996 -2.7901558   0.16625643 -0.07397385]
7.32607316960155,1.679716251580009,4.7577698144537965,1.787705358887033,1.8335876572738332,3.1401846316589,[-728.98891682   95.54786205],[-3.50289471  0.5009649  -3.82317846  0.14346221  0.21936502 -0.1251756 ]
8.23605636926221,0.5891873344327336,1.8411505463651152,1.4816749566092249,4.434251615273475,1.2933936198726337,[-993.04394782   95.10041669],[-3.41262185  0.47087395 -4.82343452  2.23424718 -0.29384825  0.16238217]
7.795470501218512,4.903774988761053,1.4506156653039644,1.4749722008861625,3.745439038805925,5.1853227580870485,[-862.23512283  130.01208398],[-5.34962274  1.11654091 -2.44584776 -4.45792723 -0.031109   -0.43525053]
1.0902754530933867,3.3299953078992894,3.91537096644319,2.2574242994613716,2.0352695964362097,9.41680643066013,[-35.06659738 125.52222927],[-1.21013538 -0.26328821  0.11985993 -5.44985524 -0.22616792 -1.5868778 ]
2.3481402072008595,4.217506797452653,4.58143892096164,1.448141403569755,2.7137777333131994,9.680440392779673,[-30.22309765 147.46333791],[-2.2828235   0.0942745  -0.0653167  -6.15219009 -0.01272738 -1.44059089]
2.2264447485591954,3.7540777464685693,3.3836571576563736,4.120716115156936,1.099172173842101,3.454785004646357,[-10.06494829  60.6233119 ],"[-1.99026125e+00 -3.24625083e-03 -2.36183501e-01 -5.51789425e+00
  6.69772324e-02 -7.66982857e-01]"
5.669318248039005,0.6658336007015175,4.5288564933031115,0.12038329620561705,2.3207062116043087,7.832429523105338,[-367.62592893  119.84216661],[-2.16757592  0.05585864 -3.50174232  0.83590872 -0.38555363 -1.07346739]
5.81076350005818,6.1507848753874885,3.3884283441939385,0.333230395374869,1.685876212203706,1.7699289173226818,[-399.89719188   89.16444315],[-4.98077419  0.9935914  -0.82998931 -7.32079556 -0.87897326  0.12578744]
6.504355873541572,1.0653591596569978,2.9506932029651898,3.5341659735721436,4.932812022438908,6.265601466728449,[-527.5933151   128.22895116],[-2.78485752  0.26161917 -3.71949836  0.6541392  -0.11585072 -1.50034095]
