Culture,Criticality,Criticality Modifier,Initial Known,Inter-Dependency,Dynamism,Size,Plan,Team Size,Cost-,Score-,Idle-
0.10291116608476525,0.4164071580661799,0.48392002376885257,0.8902676581862394,0.33130949080250927,0.38710649119719087,0.1767262812695728,0.3727604997036672,0.7007611714797328,0.15888188429190483,0.15619118776168744,0.0
0.7374349462910421,0.43090931177683267,0.13495999724315189,0.06492570562895261,0.3319621936498912,0.6654714229800182,0.4847960669801161,0.8866506819648516,0.7873725472878693,0.29599305098585194,0.6824595703037909,0.2429149797570851
0.010853578629520966,0.504363896423746,0.2276806820885463,0.8666516889576193,0.22918761494355122,0.372073653249269,0.2528260165884809,0.5276129591807908,0.2973816333332464,0.2812462155733966,0.1449187368769075,0.0
0.9745711748516357,0.6877394704422294,0.8924373878970085,0.18513903264119536,0.7085938248112078,0.782472065642778,0.9325747463057917,0.3900765759504451,0.5925424981099984,1.0,0.689625705092952,0.8229799982377302
0.9102231816807761,0.03304646685606649,0.18964216700550895,0.4604179310363926,0.5708026019180391,0.4081619370284748,0.124078469578917,0.08195680351601031,0.7272460427067091,0.15334231110561228,0.6674420869246798,0.586080586080586
0.34200463981796114,0.5863814075335649,0.26198776109047617,0.6603387862656467,0.3840464985257538,0.14822481546443644,0.65545423218905,0.6215043974518134,0.03757020474447359,0.3253793994911418,0.21262681858798427,0.2807411566535654
0.8383308505421629,0.34764834015269885,0.1318304430532965,0.32799622889305624,0.6349679819343015,0.2383648481844588,0.46761320654315675,0.5459103510117095,0.45562038429985974,0.18513513730012646,0.49136906511965867,0.0
0.5628608322711502,0.8262082985012844,0.7921448880763798,0.1188380069475049,0.7212508381654893,0.4442141082642259,0.6581947810016461,0.751242457940795,0.37270368785132113,1.0,0.7167973336644121,0.6774876499647142
0.6527312443733371,0.6382654763147185,0.35930602094039665,0.4707854133478364,0.9528938226729533,0.9148410651045359,0.288608257668282,0.11212095309868819,0.5819838861416043,0.4930305563048518,0.805308800277081,0.4339250493096647
0.6277556930196564,0.1400725445048655,0.7379013461905886,0.4603334677513231,0.9289532886089076,0.19764506881693678,0.8781881441284459,0.5295622715214161,0.2823934402513337,0.7227145509721753,0.48243016713220704,0.45936395759717313
0.6485114684238384,0.21429580226909617,0.5943917571613216,0.6104620977952824,0.4634435607144164,0.7475834774510285,0.8329922087142405,0.24883019690640218,0.8915374322596572,0.9103122155072274,0.5992325431675318,0.8214147661383843
0.018705982391904907,0.6888985769701199,0.7151696459333509,0.8724471649922259,0.3331868302720097,0.989191504050129,0.9673134421446175,0.6397508250791677,0.4684179891039272,1.0,0.47305310953097285,0.34311012728278906
0.7722363201767857,0.8312549525039676,0.6291547308438833,0.9024880558287945,0.32350120525047177,0.6396383843492066,0.0908618076841119,0.6744005028567388,0.8652232583292438,0.4601679013608811,0.45092491596231954,0.1923076923076923
0.9580717586851774,0.17770499842678733,0.5046878549538757,0.6179517388205185,0.3155767944536456,0.6981605696018441,0.8360935736787892,0.8204700962283893,0.29742340765880804,0.5720919537719147,0.8010069054404636,0.2254955446444808
