XN_MRE,XN_ACC,XN_PRED40,MRE-,ACC+,PRED40+,N_estimators,criterion,Min_sample_leaves,Min_impurity_decrease,Max_depth
0.3148748159057436,0.7276513937840435,0.5714285714285714,35.41,13.86,50.0,40,squared_error,3,2.75,10
0.8231222385861561,0.4335148990708106,0.0,69.92,4.68,0.0,190,squared_error,18,4.25,6
0.15596465390279823,0.6859980775392502,0.8571428571428571,24.62,12.56,75.0,130,squared_error,1,0.75,15
0.8111929307805595,0.43896187119512975,0.0,69.11,4.85,0.0,170,squared_error,17,4.25,13
0.8930780559646538,0.4037167574495354,0.0,74.67,3.75,0.0,180,absolute_error,17,6.75,14
0.8110456553755521,0.43896187119512975,0.0,69.1,4.85,0.0,200,squared_error,19,4.25,1
0.3425625920471281,0.6802306952899712,0.5714285714285714,37.29,12.38,50.0,130,squared_error,3,2.5,17
0.6743740795287186,0.5084908683114386,0.14285714285714285,59.82,7.02,12.5,30,poisson,6,9.25,10
0.8727540500736377,0.41204742069849404,0.0,73.29,4.01,0.0,190,absolute_error,8,8.25,2
0.8014727540500736,0.443447612944569,0.0,68.45,4.99,0.0,90,squared_error,8,5.5,4
0.8157584683357879,0.43671900032041006,0.0,69.42,4.78,0.0,80,squared_error,13,6.0,17
0.4212076583210604,0.731175905158603,0.42857142857142855,42.63,13.97,37.5,10,poisson,1,5.5,9
0.8111929307805595,0.43896187119512975,0.0,69.11,4.85,0.0,190,squared_error,9,3.5,5
0.20530191458026506,0.8260173021467478,1.0,27.97,16.93,87.5,40,squared_error,1,0.25,19
0.5397643593519882,0.5950016020506248,0.14285714285714285,50.68,9.72,12.5,120,poisson,5,6.5,10
0.35434462444771725,0.7154758090355654,0.5714285714285714,38.09,13.48,50.0,150,poisson,2,6.25,9
0.8078055964653901,0.4402435116949695,0.0,68.88,4.89,0.0,180,poisson,19,0.5,6
0.81620029455081,0.43671900032041006,0.0,69.45,4.78,0.0,190,squared_error,10,3.75,2
0.21148748159057437,0.7449535405318808,1.0,28.39,14.4,87.5,160,squared_error,1,4.5,8
0.8117820324005891,0.43864146107016977,0.0,69.15,4.84,0.0,180,poisson,10,1.25,10
0.6086892488954344,0.5479013136815124,0.14285714285714285,55.36,8.25,12.5,40,absolute_error,5,9.5,16
0.21089837997054492,0.8324255046459467,1.0,28.35,17.13,87.5,190,poisson,1,2.75,14
0.8134020618556701,0.4380006408202499,0.0,69.26,4.82,0.0,200,squared_error,9,5.0,5
0.5220913107511045,0.6078180070490227,0.14285714285714285,49.48,10.12,12.5,140,poisson,5,6.0,3
0.8185567010309277,0.4354373598205703,0.0,69.61,4.74,0.0,60,squared_error,20,6.0,3
0.5450662739322533,0.5908362704261454,0.14285714285714285,51.04,9.59,12.5,100,poisson,6,3.5,2
0.8827687776141383,0.40788208907401474,0.0,73.97,3.88,0.0,110,absolute_error,12,3.5,11
0.814580265095729,0.43735982057032996,0.0,69.34,4.8,0.0,60,squared_error,17,1.5,18
0.3215022091310751,0.6799102851650112,0.5714285714285714,35.86,12.37,50.0,120,absolute_error,2,2.5,11
0.876583210603829,0.41044537007369425,0.0,73.55,3.96,0.0,170,absolute_error,13,8.0,18
0.8042709867452135,0.44216597244472927,0.0,68.64,4.95,0.0,30,squared_error,11,6.75,1
0.0,0.7901313681512335,0.8571428571428571,14.03,15.81,75.0,10,squared_error,1,6.75,5
0.8078055964653901,0.4405639218199295,0.0,68.88,4.9,0.0,150,squared_error,12,1.5,1
0.7966126656848306,0.44569048381928866,0.0,68.12,5.06,0.0,20,squared_error,16,2.25,3
0.4151693667157584,0.674463313040692,0.5714285714285714,42.22,12.2,50.0,50,squared_error,4,4.5,7
0.8181148748159056,0.4357577699455303,0.0,69.58,4.75,0.0,150,squared_error,14,5.5,18
0.1908689248895434,0.756488305030439,1.0,26.99,14.76,87.5,120,squared_error,1,4.75,3
0.8540500736377024,0.41973726369753284,0.0,72.02,4.25,0.0,140,absolute_error,8,6.25,14
0.8151693667157583,0.4370394104453701,0.0,69.38,4.79,0.0,80,squared_error,16,9.25,20
