XN_MRE,XN_ACC,XN_PRED40,MRE-,ACC+,PRED40+,N_estimators,criterion,Min_sample_leaves,Min_impurity_decrease,Max_depth
0.3406953859610759,0.874272062117366,0.8333333333333336,23.61,39.29,77.77777777777779,40,squared_error,3,2.75,10
0.13951454187623008,0.8193220845154547,1.0,14.41,35.61,88.88888888888889,190,squared_error,18,4.25,6
0.5138858517384649,0.4970882484694639,0.5000000000000001,31.53,14.03,55.55555555555556,130,squared_error,1,0.75,15
0.15394708069101248,0.8096162460803344,1.0,15.07,34.96,88.88888888888889,170,squared_error,17,4.25,13
0.38246227859173415,0.6486486486486486,1.0,25.52,24.18,88.88888888888889,180,absolute_error,17,6.75,14
0.17690793789634818,0.7943855457667613,1.0,16.12,33.94,88.88888888888889,200,squared_error,19,4.25,1
0.2628471462934617,0.8470957144990295,0.8333333333333336,20.05,37.47,77.77777777777779,130,squared_error,3,2.5,17
0.1957139733216707,0.7821412572793788,1.0,16.98,33.12,88.88888888888889,30,poisson,6,9.25,10
0.3295429696041986,0.6723906226668658,1.0,23.1,25.77,88.88888888888889,190,absolute_error,8,8.25,2
0.24316641154603105,0.6997162908765119,1.0,19.15,27.6,88.88888888888889,90,squared_error,8,5.5,4
0.1983380712879948,0.7806480513662835,1.0,17.1,33.02,88.88888888888889,80,squared_error,13,6.0,17
0.3004592171441067,0.4403464237718382,0.8333333333333336,21.77,10.23,77.77777777777779,10,poisson,1,5.5,9
0.23441941832495083,0.7607884127221144,1.0,18.75,31.69,88.88888888888889,190,squared_error,9,3.5,5
0.5305051388585174,0.5275496490966104,0.5000000000000001,32.29,16.07,55.55555555555556,40,squared_error,1,0.25,19
0.18631095560900945,0.8238017022547409,1.0,16.55,35.91,88.88888888888889,120,poisson,5,6.5,10
0.3367592390115898,0.5244139166791101,0.8333333333333336,23.43,15.86,77.77777777777779,150,poisson,2,6.25,9
0.16422479772578177,0.802598178288786,1.0,15.54,34.49,88.88888888888889,180,poisson,19,0.5,6
0.1546031051825935,0.8100642078542631,1.0,15.1,34.99,88.88888888888889,190,squared_error,10,3.75,2
0.553247321233326,0.4454233238763626,0.5000000000000001,33.33,10.57,55.55555555555556,160,squared_error,1,4.5,8
0.17340914060791607,0.7966253546364045,1.0,15.96,34.09,88.88888888888889,180,poisson,10,1.25,10
0.3743713098622348,0.6520830222487681,1.0,25.15,24.41,88.88888888888889,40,absolute_error,5,9.5,16
0.4524382243603761,0.5188890548006571,1.0,28.72,15.49,88.88888888888889,190,poisson,1,2.75,14
0.20271156789853492,0.79154845453188,1.0,17.3,33.75,88.88888888888889,200,squared_error,9,5.0,5
0.19943144544062977,0.7799014484097357,1.0,17.15,32.97,88.88888888888889,140,poisson,5,6.0,3
0.1856549311174284,0.7887113632969988,1.0,16.52,33.56,88.88888888888889,60,squared_error,20,6.0,3
0.2121145856111962,0.7348066298342542,1.0,17.73,29.95,88.88888888888889,100,poisson,6,3.5,2
0.3553465996063853,0.660594295953412,1.0,24.28,24.98,88.88888888888889,110,absolute_error,12,3.5,11
0.18543625628690144,0.7458563535911603,1.0,16.51,30.69,88.88888888888889,60,squared_error,17,1.5,18
0.551716597419637,0.5393459758100643,0.6666666666666666,33.26,16.86,66.66666666666666,120,absolute_error,2,2.5,11
0.36453094248851964,0.6564133193967449,1.0,24.7,24.7,88.88888888888889,170,absolute_error,13,8.0,18
0.16969166848895692,0.7990144840973571,1.0,15.79,34.25,88.88888888888889,30,squared_error,11,6.75,1
0.23616881696916683,0.6056443183515007,0.5000000000000001,18.83,21.3,55.55555555555556,10,squared_error,1,6.75,5
0.15963262628471467,0.8057339107062865,1.0,15.33,34.7,88.88888888888889,150,squared_error,12,1.5,1
0.17931336103214524,0.7927430192623564,1.0,16.23,33.83,88.88888888888889,20,squared_error,16,2.25,3
0.1790946862016182,0.9496789607286846,0.8333333333333336,16.22,44.34,77.77777777777779,50,squared_error,4,4.5,7
0.17209709162475403,0.7975212781842616,1.0,15.9,34.15,88.88888888888889,150,squared_error,14,5.5,18
0.5217581456374372,0.4752874421382709,0.6666666666666666,31.89,12.57,66.66666666666666,120,squared_error,1,4.75,3
0.375246009184343,0.64820068687472,1.0,25.19,24.15,88.88888888888889,140,absolute_error,8,6.25,14
0.21430133391646622,0.7706435717485441,1.0,17.83,32.35,88.88888888888889,80,squared_error,16,9.25,20
0.4767111305488738,0.53098402269673,1.0,29.83,16.3,88.88888888888889,160,absolute_error,1,7.0,9
0.3146730811283622,0.6794086904584142,1.0,22.42,26.24,88.88888888888889,50,absolute_error,9,2.0,5
0.3689044390990597,0.7209198148424668,0.8333333333333336,24.9,29.02,77.77777777777779,110,absolute_error,4,2.5,18
0.08265908593920843,0.8444079438554576,1.0,11.81,37.29,88.88888888888889,70,poisson,16,4.5,14
0.14388803848677018,0.8163356726892639,1.0,14.61,35.41,88.88888888888889,180,poisson,12,1.25,11
0.21801880603542534,0.7280872032253248,1.0,18.0,29.5,88.88888888888889,10,absolute_error,5,8.5,19
0.19287120052481965,0.7418246976258027,1.0,16.85,30.42,88.88888888888889,30,squared_error,20,3.75,19
0.29083752460091844,0.7649693892787817,0.8333333333333336,21.33,31.97,77.77777777777779,100,squared_error,6,3.75,1
0.3678110649464247,0.655069434074959,1.0,24.85,24.61,88.88888888888889,100,absolute_error,13,3.25,13
0.19724469713535978,0.7812453337315217,1.0,17.05,33.06,88.88888888888889,100,poisson,16,4.75,11
0.11196151322982728,0.8358966701508139,1.0,13.15,36.72,88.88888888888889,20,squared_error,16,7.0,10
0.18806035425322545,0.7870688367925939,1.0,16.63,33.45,88.88888888888889,180,poisson,18,8.75,3
0.20599169035644,0.7758697924443783,1.0,17.45,32.7,88.88888888888889,120,poisson,18,2.75,2
0.1546031051825935,0.8091682843064059,1.0,15.1,34.93,88.88888888888889,170,poisson,14,10.0,2
0.3415700852831839,0.6668657607884126,1.0,23.65,25.4,88.88888888888889,60,absolute_error,17,9.0,5
0.15307238136890444,0.8100642078542631,1.0,15.03,34.99,88.88888888888889,10,poisson,11,3.75,2
0.40258036300021877,0.6398387337613858,1.0,26.44,23.59,88.88888888888889,140,absolute_error,17,1.75,13
0.3638749179969386,0.656711960579364,1.0,24.67,24.72,88.88888888888889,70,absolute_error,18,4.0,7
0.19549529849114367,0.782439898461998,1.0,16.97,33.14,88.88888888888889,90,poisson,10,2.0,7
0.3358845396894818,0.6108705390473346,1.0,23.39,21.65,88.88888888888889,120,squared_error,3,2.0,1
0.12901815001093375,0.8266387934896222,1.0,13.93,36.1,88.88888888888889,140,squared_error,15,0.25,15
0.17690793789634818,0.7943855457667613,1.0,16.12,33.94,88.88888888888889,170,poisson,18,3.0,1
