XN_MRE,XN_ACC,XN_PRED40,MRE-,ACC+,PRED40+,N_estimators,criterion,Min_sample_leaves,Min_impurity_decrease,Max_depth
0.9388815499779832,0.9536813033890685,0.0,106.61,-9.09,0.0,40,squared_error,3,2.75,10
0.9327168648172611,0.9536813033890685,0.0,105.91,-9.09,0.0,190,squared_error,18,4.25,6
0.9387934830471157,0.9536813033890685,0.0,106.6,-9.09,0.0,130,squared_error,1,0.75,15
0.9311316600616469,0.9536813033890685,0.0,105.73,-9.09,0.0,170,squared_error,17,4.25,13
0.0,0.9634117621871588,1.0,0.0,0.0,100.0,180,absolute_error,17,6.75,14
0.9377366798767064,0.9536813033890685,0.0,106.48,-9.09,0.0,200,squared_error,19,4.25,1
0.9352708058124175,0.9536813033890685,0.0,106.2,-9.09,0.0,130,squared_error,3,2.5,17
0.9261118450022017,0.9536813033890685,0.0,105.16,-9.09,0.0,30,poisson,6,9.25,10
0.0,0.9634117621871588,1.0,0.0,0.0,100.0,190,absolute_error,8,8.25,2
0.9400264200792602,0.9536813033890685,0.0,106.74,-9.09,0.0,90,squared_error,8,5.5,4
0.9325407309555263,0.9536813033890685,0.0,105.89,-9.09,0.0,80,squared_error,13,6.0,17
0.9431968295904888,0.9536813033890685,0.0,107.1,-9.09,0.0,10,poisson,1,5.5,9
0.936327608982827,0.9536813033890685,0.0,106.32,-9.09,0.0,190,squared_error,9,3.5,5
0.9388815499779832,0.9566036524010363,0.0,106.61,-6.36,0.0,40,squared_error,1,0.25,19
0.9304271246147072,0.9536813033890685,0.0,105.65,-9.09,0.0,120,poisson,5,6.5,10
0.9378247468075738,0.9536813033890685,0.0,106.49,-9.09,0.0,150,poisson,2,6.25,9
0.9356230735358873,0.9536813033890685,0.0,106.24,-9.09,0.0,180,poisson,19,0.5,6
0.9357111404667547,0.9536813033890685,0.0,106.25,-9.09,0.0,190,squared_error,10,3.75,2
0.9424922941435491,0.9536813033890685,0.0,107.02,-9.09,0.0,160,squared_error,1,4.5,8
0.9362395420519596,0.9536813033890685,0.0,106.31,-9.09,0.0,180,poisson,10,1.25,10
0.0,0.9634117621871588,1.0,0.0,0.0,100.0,40,absolute_error,5,9.5,16
0.9357111404667547,0.9536813033890685,0.0,106.25,-9.09,0.0,190,poisson,1,2.75,14
0.9340378687802731,0.9536813033890685,0.0,106.06,-9.09,0.0,200,squared_error,9,5.0,5
0.9281373844121532,0.9536813033890685,0.0,105.39,-9.09,0.0,140,poisson,5,6.0,3
0.9327168648172611,0.9536813033890685,0.0,105.91,-9.09,0.0,60,squared_error,20,6.0,3
0.93518273888155,0.9536813033890685,0.0,106.19,-9.09,0.0,100,poisson,6,3.5,2
0.0,0.9634117621871588,1.0,0.0,0.0,100.0,110,absolute_error,12,3.5,11
0.9488331131660062,0.9536813033890685,0.0,107.74,-9.09,0.0,60,squared_error,17,1.5,18
0.0,0.9634117621871588,1.0,0.0,0.0,100.0,120,absolute_error,2,2.5,11
0.0,0.9634117621871588,1.0,0.0,0.0,100.0,170,absolute_error,13,8.0,18
0.9261118450022017,0.9536813033890685,0.0,105.16,-9.09,0.0,30,squared_error,11,6.75,1
0.9374724790841039,0.9536813033890685,0.0,106.45,-9.09,0.0,10,squared_error,1,6.75,5
0.936327608982827,0.9536813033890685,0.0,106.32,-9.09,0.0,150,squared_error,12,1.5,1
0.9402906208718627,0.9536813033890685,0.0,106.77,-9.09,0.0,20,squared_error,16,2.25,3
0.9443416996917658,0.9536813033890685,0.0,107.23,-9.09,0.0,50,squared_error,4,4.5,7
0.9348304711580803,0.9536813033890685,0.0,106.15,-9.09,0.0,150,squared_error,14,5.5,18
0.936503742844562,0.9536813033890685,0.0,106.34,-9.09,0.0,120,squared_error,1,4.75,3
